"Score","FirstReadIndex","StreamInfoPtr","ModeFlag","StreamBase","StreamSize","MatchReason","EntryIndex","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","EntryOffset","EntryEnd","FirstAsciiSample"
"3","63700","0x630c3b4","0x0","0x16a0bdb","430","size+offset","314","patch20/characters/barbara_outfit/barbara_helmet.gfx",".gfx","0xC463851B","253","430","0x11","23727067","23727320","GFX2............................"
"3","63701","0x630e3dc","0x0","0x16a0cd8","430","size+offset","315","patch20/characters/barbara_outfit/barbara_legs.gfx",".gfx","0xE67DC6DB","253","430","0x11","23727320","23727573","GFX2............................"
"3","63702","0x630cddc","0x0","0x16a0dd5","431","size+offset","316","patch20/characters/barbara_outfit/barbara_torso.gfx",".gfx","0x4DECCDC4","254","431","0x11","23727573","23727827","GFX2............................"
"3","63703","0x621417c","0x0","0x1955e75","434","size+offset","374","patch20/characters/tko_panda_helmet/tko_panda_helmet.gfx",".gfx","0x933EC809","258","434","0x11","26566261","26566519","GFX2............................"
"3","63704","0x630f1bc","0x0","0x1974d02","443","size+offset","512","patch20/vehicles/bikes/roach_flame/kingcobra_flame_engine_fender_1.gfx",".gfx","0x9DD463C2","267","443","0x11","26692866","26693133","GFX2............................"
"3","63705","0x630e2ac","0x0","0x1974bfe","436","size+offset","511","patch20/vehicles/bikes/roach_flame/kingcobra_flame_engine_1.gfx",".gfx","0x3F6266CF","260","436","0x11","26692606","26692866","GFX2............................"
"3","63706","0x630c4cc","0x0","0x1974f21","591","size+offset","514","patch20/vehicles/bikes/roach_flame/kingcobra_flame_frame_1.gfx",".gfx","0xA5CA4130","293","591","0x11","26693409","26693702","GFX2............................"
"3","63707","0x630db04","0x0","0x1975633","438","size+offset","520","patch20/vehicles/bikes/roach_flame/kingcobra_flame_steering_1.gfx",".gfx","0xED290E67","261","438","0x11","26695219","26695480","GFX2............................"
"3","63708","0x630be64","0x0","0x1975738","921","size+offset","521","patch20/vehicles/bikes/roach_flame/kingcobra_flame_swing_arm_1.gfx",".gfx","0x7ECA7CC9","379","921","0x11","26695480","26695859","GFX2............................"
"3","63709","0x630ba74","0x0","0x1974e0d","442","size+offset","513","patch20/vehicles/bikes/roach_flame/kingcobra_flame_exhaust_pipe_1.gfx",".gfx","0xA7980087","276","442","0x11","26693133","26693409","GFX2............................"
"3","63710","0x621435c","0x0","0x19753fc","606","size+offset","518","patch20/vehicles/bikes/roach_flame/kingcobra_flame_rear_fender_1.gfx",".gfx","0x0BA0E825","308","606","0x11","26694652","26694960","GFX2............................"
"3","63711","0x630e174","0x0","0x1975046","442","size+offset","515","patch20/vehicles/bikes/roach_flame/kingcobra_flame_front_fender_1.gfx",".gfx","0x07C432BD","266","442","0x11","26693702","26693968","GFX2............................"
"3","63712","0x630dca4","0x0","0x1975150","446","size+offset","516","patch20/vehicles/bikes/roach_flame/kingcobra_flame_front_suspension_1.gfx",".gfx","0x10F04679","270","446","0x11","26693968","26694238","GFX2............................"
"3","63713","0x630bca4","0x0","0x1975530","434","size+offset","519","patch20/vehicles/bikes/roach_flame/kingcobra_flame_seat_1.gfx",".gfx","0x82CDECB4","259","434","0x11","26694960","26695219","GFX2............................"
"3","63714","0x630e2c4","0x0","0x197525e","733","size+offset","517","patch20/vehicles/bikes/roach_flame/kingcobra_flame_head_light_1.gfx",".gfx","0xD57DBECF","414","733","0x11","26694238","26694652","GFX2............................"
"3","63715","0x630e6f4","0x0","0x19688cf","1071","size+offset","397","patch20/vehicles/bikes/baggie_80s/minx_80s_back_swing_arm_1.gfx",".gfx","0xF45F1F0D","397","1071","0x11","26642639","26643036","GFX2............................"
"3","63717","0x630e5f4","0x0","0x1968a5c","434","size+offset","398","patch20/vehicles/bikes/baggie_80s/minx_80s_engine_1.gfx",".gfx","0xFC3176FE","259","434","0x11","26643036","26643295","GFX2............................"
"3","63718","0x630c664","0x0","0x1968c72","435","size+offset","400","patch20/vehicles/bikes/baggie_80s/minx_80s_exhaust_1.gfx",".gfx","0xA60AD54A","258","435","0x11","26643570","26643828","GFX2............................"
"3","63719","0x630d094","0x0","0x1969392","596","size+offset","407","patch20/vehicles/bikes/baggie_80s/minx_80s_steering_1.gfx",".gfx","0x5B107DDF","300","596","0x11","26645394","26645694","GFX2............................"
"3","63720","0x630d1f4","0x0","0x1968d74","440","size+offset","401","patch20/vehicles/bikes/baggie_80s/minx_80s_fender_front_1.gfx",".gfx","0x30D819EE","264","440","0x11","26643828","26644092","GFX2............................"
"3","63721","0x630bd64","0x0","0x1969083","444","size+offset","404","patch20/vehicles/bikes/baggie_80s/minx_80s_front_suspension_1.gfx",".gfx","0x2D3BF8C1","265","444","0x11","26644611","26644876","GFX2............................"
"3","63722","0x630bae4","0x0","0x1968e7c","439","size+offset","402","patch20/vehicles/bikes/baggie_80s/minx_80s_fender_rear_1.gfx",".gfx","0x6AC3D890","263","439","0x11","26644092","26644355","GFX2............................"
